Order_ID,Customer_ID,Order_Date,Customer_Age,Gender,City,Product_Category,Quantity,Unit_Price,Payment_Method,Order_Status,Total_Amount
O0036,C0015,2026-02-05,36.0,Male,Erode,Electronics,3,5688,Net Banking,Returned,17064
O0037,C0190,2026-02-06,49.0,Female,Coimbatore,Electronics,2,2123,Net Banking,Returned,4246
O0038,C0190,2026-02-07,18.0,Female,Trichy,Furniture,5,5066,UPI,Cancelled,25330
O0039,C0175,2026-02-08,22.0,Female,Salem,Electronics,4,5991,UPI,Returned,23964
O0040,C0190,2026-02-09,62.0,Female,Coimbatore,Clothing,5,1180,Net Banking,Returned,5900
O0041,C0051,2026-02-10,21.0,Male,Erode,Clothing,4,5136,Cash,Cancelled,20544
O0042,C0108,2026-02-11,33.0,Female,Salem,Furniture,3,2663,Cash,Cancelled,7989
O0043,C0055,2026-02-12,41.0,Male,Madurai,Clothing,5,3392,Cash,Cancelled,16960
O0044,C0064,2026-02-13,33.0,Female,Chennai,Clothing,4,3686,UPI,Cancelled,14744
O0045,C0131,2026-02-14,19.0,Male,Erode,Grocery,3,4531,Cash,Returned,13593
O0046,C0051,2026-02-15,45.0,Female,Madurai,Grocery,2,6941,Card,Returned,13882
O0047,C0135,2026-02-16,49.0,Male,Coimbatore,Clothing,4,6743,Cash,Completed,26972
O0048,C0021,2026-02-17,44.0,Male,Trichy,Furniture,2,4059,UPI,Completed,8118
O0049,C0073,2026-02-18,37.0,Female,Salem,Grocery,2,261,UPI,Returned,522
O0050,C0167,2026-02-19,41.0,Female,Chennai,Electronics,1,693,Card,Completed,693
O0051,C0018,2026-02-20,29.0,Female,Salem,Electronics,5,3490,Card,Returned,17450
O0052,C0132,2026-02-21,52.0,Female,Coimbatore,Electronics,4,6097,Cash,Completed,24388
O0053,C0089,2026-02-22,50.0,Male,Salem,Furniture,2,6454,Cash,Cancelled,12908
O0054,C0060,2026-02-23,50.0,Female,Chennai,Clothing,1,763,UPI,Completed,763
O0055,C0014,2026-02-24,60.0,Male,Coimbatore,Electronics,3,9424,Card,Cancelled,28272
O0056,C0009,2026-02-25,54.0,Male,Salem,Clothing,4,641,Card,Cancelled,2564
O0057,C0090,2026-02-26,29.0,Female,Trichy,Grocery,2,5533,Card,Cancelled,11066
O0058,C0053,2026-02-27,20.0,Male,Erode,Clothing,5,5193,Cash,Cancelled,25965
O0059,C0130,2026-02-28,18.0,Male,Coimbatore,Grocery,1,967,Card,Completed,967
O0060,C0084,2026-03-01,50.0,Male,Erode,Furniture,2,8723,UPI,Returned,17446
O0061,C0092,2026-03-02,57.0,Male,Coimbatore,Electronics,5,5569,UPI,Cancelled,27845
O0062,C0111,2026-03-03,27.0,Female,Trichy,Electronics,2,6356,Cash,Completed,12712
O0063,C0188,2026-03-04,60.0,Female,Erode,Furniture,4,9498,Net Banking,Cancelled,37992
O0064,C0199,2026-03-05,61.0,Female,Madurai,Electronics,4,1269,Cash,Completed,5076
O0065,C0172,2026-03-06,46.0,Female,Chennai,Clothing,4,930,Net Banking,Completed,3720
O0066,C0008,2026-03-07,30.0,Male,Madurai,Furniture,1,1751,Card,Completed,1751
O0067,C0175,2026-03-08,29.0,Male,Salem,Grocery,4,1236,Cash,Returned,4944
O0068,C0035,2026-03-09,48.0,Female,Trichy,Furniture,5,2910,UPI,Completed,14550
O0069,C0081,2026-03-10,63.0,Female,Madurai,Clothing,2,8767,Card,Completed,17534
O0070,C0164,2026-03-11,19.0,Female,Coimbatore,Clothing,3,9618,UPI,Returned,28854
O0071,C0050,2026-03-12,41.0,Male,Salem,Furniture,5,1119,Card,Returned,5595
O0072,C0104,2026-03-13,40.0,Female,Salem,Furniture,5,5337,Cash,Completed,26685
O0073,C0132,2026-03-14,34.0,Female,Madurai,Electronics,4,1383,Net Banking,Returned,5532
O0074,C0002,2026-03-15,43.0,Female,Madurai,Clothing,1,759,Card,Cancelled,759
O0075,C0134,2026-03-16,25.0,Male,Trichy,Furniture,2,2110,Net Banking,Cancelled,4220
O0076,C0054,2026-03-17,46.0,Male,Chennai,Furniture,1,8690,Card,Returned,8690
O0077,C0106,2026-03-18,43.0,Male,Madurai,Clothing,2,1833,UPI,Returned,3666
O0078,C0004,2026-03-19,27.0,Male,Madurai,Furniture,2,2225,UPI,Completed,4450
O0079,C0054,2026-03-20,43.0,Male,Erode,Electronics,1,2271,Card,Returned,2271
O0080,C0191,2026-03-21,51.0,Male,Coimbatore,Clothing,5,8366,Net Banking,Completed,41830
O0081,C0146,2026-03-22,41.0,Male,Erode,Electronics,2,3571,Cash,Cancelled,7142
O0082,C0044,2026-03-23,24.0,Male,Erode,Electronics,1,9128,Cash,Returned,9128
O0083,C0162,2026-03-24,21.0,Female,Salem,Electronics,2,5724,UPI,Completed,11448
O0084,C0190,2026-03-25,62.0,Female,Chennai,Electronics,3,8791,Cash,Completed,26373
O0085,C0014,2026-03-26,28.0,Male,Coimbatore,Clothing,5,8429,UPI,Cancelled,42145
O0086,C0095,2026-03-27,46.0,Male,Trichy,Electronics,4,2197,Cash,Returned,8788
O0087,C0048,2026-03-28,53.0,Female,Trichy,Electronics,2,5168,Card,Cancelled,10336
O0088,C0015,2026-03-29,42.0,Male,Madurai,Furniture,3,6497,UPI,Completed,19491
O0089,C0200,2026-03-30,38.0,Male,Madurai,Clothing,4,2857,UPI,Completed,11428
O0090,C0190,2026-03-31,53.0,Male,Trichy,Clothing,4,4020,Card,Returned,16080
O0091,C0040,2026-04-01,27.0,Female,Madurai,Grocery,3,8286,UPI,Completed,24858
O0092,C0082,2026-04-02,54.0,Female,Chennai,Clothing,1,2000,Cash,Returned,2000
O0093,C0111,2026-04-03,26.0,Female,Erode,Clothing,2,2710,Cash,Cancelled,5420
O0094,C0053,2026-04-04,41.0,Female,Madurai,Grocery,3,7000,UPI,Returned,21000
O0095,C0024,2026-04-05,52.0,Female,Salem,Clothing,4,1549,Cash,Returned,6196
O0096,C0154,2026-04-06,52.0,Male,Madurai,Clothing,2,8838,Net Banking,Completed,17676
O0097,C0188,2026-04-07,53.0,Female,Coimbatore,Clothing,1,5117,UPI,Completed,5117
O0098,C0124,2026-04-08,35.0,Male,Chennai,Clothing,2,8099,Card,Returned,16198
O0099,C0041,2026-04-09,56.0,Male,Coimbatore,Grocery,5,6152,Net Banking,Completed,30760
O0100,C0157,2026-04-10,49.0,Female,Coimbatore,Clothing,1,2196,UPI,Completed,2196
O0101,C0015,2026-04-11,41.0,Female,Salem,Clothing,3,8995,Card,Completed,26985
O0102,C0045,2026-04-12,40.0,Male,Chennai,Grocery,4,6504,Cash,Returned,26016
O0103,C0065,2026-04-13,49.0,Male,Chennai,Furniture,2,9917,Card,Completed,19834
O0104,C0089,2026-04-14,54.0,Male,Chennai,Electronics,1,3431,Net Banking,Returned,3431
O0105,C0071,2026-04-15,29.0,Female,Chennai,Furniture,5,7562,Cash,Completed,37810
O0106,C0009,2026-04-16,30.0,Female,Chennai,Grocery,1,5205,UPI,Cancelled,5205
O0107,C0088,2026-04-17,40.0,Female,Salem,Electronics,5,3078,Cash,Completed,15390
O0108,C0129,2026-04-18,42.0,Female,Madurai,Grocery,3,2939,UPI,Completed,8817
O0109,C0136,2026-04-19,52.0,Female,Coimbatore,Grocery,4,3484,UPI,Returned,13936
O0110,C0063,2026-04-20,58.0,Male,Chennai,Clothing,3,785,Card,Returned,2355
O0111,C0139,2026-04-21,47.0,Female,Madurai,Electronics,2,5076,Card,Completed,10152
O0112,C0081,2026-04-22,34.0,Male,Madurai,Clothing,1,4383,Card,Cancelled,4383
O0113,C0136,2026-04-23,37.0,Male,Coimbatore,Electronics,5,7836,Net Banking,Completed,39180
O0114,C0163,2026-04-24,42.0,Male,Salem,Grocery,5,7810,Net Banking,Completed,39050
O0115,C0163,2026-04-25,39.0,Female,Trichy,Grocery,1,1719,Card,Cancelled,1719
O0116,C0033,2026-04-26,30.0,Female,Trichy,Furniture,1,6968,Net Banking,Returned,6968
O0117,C0123,2026-04-27,36.0,Female,Madurai,Electronics,2,1531,Cash,Completed,3062
O0118,C0005,2026-04-28,53.0,Male,Erode,Clothing,3,9167,Cash,Returned,27501
O0119,C0041,2026-04-29,29.0,Male,Erode,Furniture,5,4813,Net Banking,Returned,24065
O0120,C0028,2026-04-30,58.0,Male,Coimbatore,Furniture,2,9657,Net Banking,Cancelled,19314
O0121,C0135,2026-05-01,36.0,male,Trichy,Furniture,3,9535,Cash,Cancelled,28605
O0122,C0072,2026-05-02,29.0,MALE,Madurai,Clothing,2,5098,UPI,Returned,10196
O0123,C0012,2026-05-03,26.0,M,Salem,Furniture,5,262,Cash,Completed,1310
O0124,C0162,2026-05-04,24.0,Female,Trichy,Clothing,1,2074,Cash,Returned,2074
O0125,C0033,2026-05-05,45.0,Female,Madurai,Furniture,1,3391,Net Banking,Completed,3391
O0126,C0048,2026-05-06,31.0,Female,Madurai,Clothing,3,8561,Cash,Completed,25683
O0127,C0151,2026-05-07,48.0,Female,Chennai,Grocery,4,731,Net Banking,Cancelled,2924
O0128,C0062,2026-05-08,36.0,Male,Salem,Grocery,3,1005,Net Banking,Completed,3015
O0129,C0037,2026-05-09,64.0,Male,Chennai,Grocery,4,2114,Card,Completed,8456
O0130,C0099,2026-05-10,33.0,Female,Coimbatore,Grocery,2,9933,Cash,Returned,19866
O0131,C0172,2026-05-11,22.0,Male,Chennai,electronics,2,7996,UPI,Cancelled,15992
O0132,C0104,2026-05-12,52.0,Female,Chennai,ELECTRONICS,5,304,Card,Completed,1520
O0133,C0035,2026-05-13,29.0,Female,Trichy,Furniture,4,681,Net Banking,Completed,2724
O0134,C0193,2026-05-14,42.0,Female,Erode,Furniture,5,5775,Net Banking,Cancelled,28875
O0135,C0101,2026-05-15,38.0,Male,Madurai,Clothing,1,9132,UPI,Returned,9132
O0136,C0175,2026-05-16,53.0,Female,Salem,Clothing,4,5447,Net Banking,Cancelled,21788
O0137,C0131,2026-05-17,40.0,Female,Chennai,Clothing,3,2743,Cash,Cancelled,8229
O0138,C0001,2026-05-18,33.0,Female,Salem,Clothing,1,8117,Card,Completed,8117
O0139,C0005,2026-05-19,56.0,Male,Erode,Grocery,1,2397,Net Banking,Completed,2397
O0140,C0142,2026-05-20,62.0,Male,Erode,Grocery,3,974,Net Banking,Returned,2922
O0141,C0103,2026-05-21,59.0,Female,Chennai,Grocery,1,5660,UPI,Completed,5660
O0142,C0027,2026-05-22,56.0,Male,Coimbatore,Electronics,4,789,Cash,Completed,3156
O0143,C0137,2026-05-23,31.0,Male,Chennai,Furniture,5,4100,Net Banking,Cancelled,20500
O0144,C0015,2026-05-24,48.0,Male,Trichy,Clothing,1,9714,UPI,Completed,9714
O0145,C0090,2026-05-25,22.0,Male,Madurai,Clothing,4,771,Net Banking,Returned,3084
O0146,C0042,2026-05-26,52.0,Male,Coimbatore,Grocery,2,8027,UPI,Cancelled,16054
O0147,C0124,2026-05-27,40.0,Male,Chennai,Clothing,4,1271,UPI,Returned,5084
O0148,C0179,2026-05-28,46.0,Male,Salem,Clothing,5,5691,Cash,Cancelled,28455
O0149,C0063,2026-05-29,60.0,Male,Coimbatore,Furniture,4,9235,Net Banking,Completed,36940
O0150,C0096,2026-05-30,28.0,Male,Coimbatore,Grocery,3,6442,Cash,Cancelled,19326
O0151,C0052,2026-05-31,35.0,Male,Chennai,Furniture,5,1549,UPI,Cancelled,7745
O0152,C0096,2026-06-01,64.0,Female,Coimbatore,Electronics,2,2639,Card,Completed,5278
O0153,C0132,2026-06-02,29.0,Female,Salem,Electronics,3,4059,Net Banking,Completed,12177
O0154,C0151,2026-06-03,26.0,Male,Erode,Electronics,4,6385,Card,Returned,25540
O0155,C0143,2026-06-04,27.0,Female,Coimbatore,Grocery,5,5532,Net Banking,Returned,27660
O0156,C0171,2026-06-05,61.0,Female,Erode,Clothing,2,4360,Cash,Completed,8720
O0157,C0029,2026-06-06,34.0,Male,Salem,Grocery,3,2461,Cash,Completed,7383
O0158,C0036,2026-06-07,55.0,Male,Chennai,Grocery,2,6264,Cash,Completed,12528
O0159,C0013,2026-06-08,24.0,Male,Madurai,Clothing,4,3770,Cash,Cancelled,15080
O0160,C0160,2026-06-09,63.0,Female,Coimbatore,Furniture,2,1853,Cash,Cancelled,3706
O0161,C0071,2026-06-10,30.0,Female,Madurai,Electronics,1,8200,Card,Cancelled,8200
O0162,C0187,2026-06-11,57.0,Male,Salem,Furniture,3,2038,Cash,Completed,6114
O0163,C0086,2026-06-12,59.0,Male,Coimbatore,Electronics,2,8662,UPI,Returned,17324
O0164,C0028,2026-06-13,26.0,Male,Erode,Grocery,4,6076,UPI,Completed,24304
O0165,C0066,2026-06-14,44.0,Female,Trichy,Electronics,4,6688,Card,Cancelled,26752
O0166,C0170,2026-06-15,19.0,Female,Madurai,Grocery,2,8716,Net Banking,Cancelled,17432
O0167,C0045,2026-06-16,22.0,Female,Coimbatore,Furniture,4,6404,UPI,Completed,25616
O0168,C0062,2026-06-17,46.0,Female,Madurai,Grocery,5,7445,Net Banking,Completed,37225
O0169,C0185,2026-06-18,54.0,Male,Coimbatore,Furniture,5,7975,Card,Cancelled,39875
O0170,C0134,2026-06-19,55.0,Male,Chennai,Clothing,5,9186,Net Banking,Cancelled,45930
O0171,C0028,2026-06-20,36.0,Male,Erode,Clothing,1,6733,Net Banking,Cancelled,6733
O0172,C0028,2026-06-21,25.0,Male,Madurai,Clothing,2,697,Net Banking,Completed,1394
O0173,C0108,2026-06-22,62.0,Female,Trichy,Grocery,1,3162,Net Banking,Cancelled,3162
O0174,C0044,2026-06-23,18.0,Female,Trichy,Clothing,4,2436,Card,Cancelled,9744
O0175,C0084,2026-06-24,39.0,Male,Salem,Electronics,1,9979,UPI,Returned,9979
O0176,C0030,2026-06-25,34.0,Male,Coimbatore,Furniture,4,672,Cash,Completed,2688
O0177,C0190,2026-06-26,24.0,Female,Madurai,Furniture,4,7621,Net Banking,Returned,30484
O0178,C0075,2026-06-27,42.0,Male,Salem,Electronics,3,6271,UPI,Returned,18813
O0179,C0128,2026-06-28,62.0,Female,Madurai,Grocery,5,7197,UPI,Cancelled,35985
O0180,C0092,2026-06-29,21.0,Male,Coimbatore,Grocery,4,2190,Card,Completed,8760
O0181,C0190,2026-06-30,53.0,Male,Trichy,Furniture,3,6666,UPI,Cancelled,19998
O0182,C0129,2026-07-01,23.0,Male,Chennai,Clothing,5,4724,Card,Completed,23620
O0183,C0121,2026-07-02,48.0,Male,Trichy,Grocery,4,1733,Net Banking,Returned,6932
O0184,C0027,2026-07-03,36.0,Male,Salem,Grocery,4,1617,Net Banking,Completed,6468
O0185,C0190,2026-07-04,61.0,Male,Erode,Electronics,1,3748,Cash,Cancelled,3748
O0186,C0121,2026-07-05,56.0,Male,Chennai,Electronics,1,1637,Cash,Cancelled,1637
O0187,C0116,2026-07-06,44.0,Female,Salem,Clothing,5,3237,Cash,Cancelled,16185
O0188,C0003,2026-07-07,27.0,Female,Coimbatore,Grocery,4,7085,UPI,Completed,28340
O0189,C0103,2026-07-08,43.0,Female,Chennai,Grocery,2,197,Net Banking,Returned,394
O0190,C0198,2026-07-09,36.0,Female,Salem,Electronics,1,3850,Card,Returned,3850
O0191,C0200,2026-07-10,56.0,Female,Coimbatore,Grocery,5,8635,Cash,Completed,43175
O0192,C0155,2026-07-11,20.0,Male,Trichy,Furniture,4,8274,Card,Cancelled,33096
O0193,C0137,2026-07-12,62.0,Male,Erode,Electronics,4,8203,Card,Returned,32812
O0194,C0062,2026-07-13,30.0,Female,Coimbatore,Clothing,2,5513,Cash,Cancelled,11026
O0195,C0165,2026-07-14,45.0,Male,Madurai,Electronics,5,4766,Net Banking,Completed,23830
O0196,C0051,2026-07-15,37.0,Female,Coimbatore,Grocery,4,710,Cash,Cancelled,2840
O0197,C0172,2026-07-16,45.0,Female,Coimbatore,Clothing,1,1827,Card,Returned,1827
O0198,C0152,2026-07-17,25.0,Male,Erode,Electronics,2,1954,Cash,Returned,3908
O0199,C0059,2026-07-18,58.0,Male,Madurai,Furniture,5,5155,Card,Cancelled,25775
O0200,C0118,2026-07-19,56.0,Male,Salem,Furniture,2,2424,Card,Completed,4848
O0201,C0160,2026-07-20,18.0,Female,Salem,Electronics,1,9469,Cash,Cancelled,9469
O0202,C0096,2026-07-21,20.0,Male,Coimbatore,Furniture,5,9383,UPI,Completed,46915
O0203,C0180,2026-07-22,30.0,Female,Madurai,Furniture,2,5874,Cash,Cancelled,11748
O0204,C0113,2026-07-23,45.0,Female,Madurai,Furniture,3,6619,UPI,Returned,19857
O0205,C0062,2026-07-24,42.0,Female,Erode,Clothing,1,1849,Card,Completed,1849
O0206,C0186,2026-07-25,50.0,Male,Trichy,Furniture,1,881,Card,Completed,881
O0207,C0052,2026-07-26,55.0,Male,Salem,Furniture,1,7648,UPI,Completed,7648
O0208,C0012,2026-07-27,23.0,Female,Erode,Furniture,3,6923,Card,Returned,20769
O0209,C0039,2026-07-28,61.0,Male,Chennai,Clothing,3,2205,UPI,Cancelled,6615
O0210,C0130,2026-07-29,62.0,Male,Salem,Electronics,4,3967,UPI,Returned,15868
O0211,C0131,2026-07-30,49.0,Male,Erode,Grocery,2,7293,Card,Completed,14586
O0212,C0113,2026-07-31,62.0,Female,Salem,Furniture,4,5076,Net Banking,Cancelled,20304
O0213,C0101,2026-08-01,64.0,Female,Trichy,Electronics,2,2213,UPI,Returned,4426
O0214,C0113,2026-08-02,38.0,Male,Chennai,Furniture,3,5979,Cash,Completed,17937
O0215,C0184,2026-08-03,33.0,Female,Trichy,Clothing,3,4070,Cash,Completed,12210
O0216,C0081,2026-08-04,38.0,Male,Chennai,Electronics,4,9359,Card,Returned,37436
O0217,C0187,2026-08-05,28.0,Male,Coimbatore,Clothing,5,7364,Net Banking,Returned,36820
O0218,C0113,2026-08-06,54.0,Male,Erode,Furniture,4,1677,Card,Returned,6708
O0219,C0002,2026-08-07,53.0,Male,Chennai,Furniture,2,9303,Net Banking,Completed,18606
O0220,C0130,2026-08-08,52.0,Female,Trichy,Clothing,4,2374,UPI,Returned,9496
O0221,C0054,2026-08-09,36.0,Female,Salem,Grocery,1,4969,UPI,Completed,4969
O0222,C0087,2026-08-10,37.0,Female,Chennai,Clothing,2,6844,UPI,Returned,13688
O0223,C0129,2026-08-11,35.0,Male,Erode,Furniture,2,2526,UPI,Completed,5052
O0224,C0147,2026-08-12,64.0,Male,Chennai,Clothing,5,5646,Cash,Completed,28230
O0225,C0126,2026-08-13,58.0,Male,Madurai,Grocery,3,6952,Cash,Cancelled,20856
O0226,C0130,2026-08-14,31.0,Female,Salem,Clothing,2,2651,Card,Returned,5302
O0227,C0053,2026-08-15,32.0,Male,Erode,Grocery,3,6511,Net Banking,Returned,19533
O0228,C0172,2026-08-16,48.0,Female,Erode,Grocery,4,107,UPI,Completed,428
O0229,C0160,2026-08-17,18.0,Female,Coimbatore,Clothing,1,8187,UPI,Completed,8187
O0230,C0198,2026-08-18,20.0,Female,Trichy,Clothing,5,2655,Net Banking,Completed,13275
O0231,C0160,2026-08-19,33.0,Female,Coimbatore,Electronics,3,575,Net Banking,Cancelled,1725
O0232,C0068,2026-08-20,40.0,Female,Erode,Furniture,2,5516,Card,Cancelled,11032
O0233,C0183,2026-08-21,28.0,Female,Salem,Grocery,3,8776,Net Banking,Completed,26328
O0234,C0184,2026-08-22,29.0,Male,Chennai,Electronics,2,7339,UPI,Returned,14678
O0235,C0123,2026-08-23,27.0,Male,Chennai,Clothing,3,6810,UPI,Returned,20430
O0236,C0145,2026-08-24,49.0,Female,Salem,Furniture,2,5100,UPI,Cancelled,10200
O0237,C0038,2026-08-25,33.0,Female,Erode,Electronics,4,4754,UPI,Cancelled,19016
O0238,C0024,2026-08-26,25.0,Male,Chennai,Grocery,2,8178,UPI,Completed,16356
O0239,C0069,2026-08-27,55.0,Female,Chennai,Electronics,2,6163,Card,Returned,12326
O0240,C0116,2026-08-28,29.0,Female,Chennai,Grocery,1,2385,UPI,Completed,2385
O0241,C0098,2026-08-29,41.0,Male,Trichy,Clothing,2,5323,Card,Cancelled,10646
O0242,C0198,2026-08-30,45.0,Female,Trichy,Furniture,1,7071,UPI,Returned,7071
O0243,C0139,2026-08-31,25.0,Female,Madurai,Furniture,5,3625,Cash,Returned,18125
O0244,C0144,2026-09-01,45.0,Female,Coimbatore,Furniture,1,2922,Cash,Cancelled,2922
O0245,C0097,2026-09-02,53.0,Male,Salem,Clothing,4,5043,Cash,Completed,20172
O0246,C0124,2026-09-03,43.0,Male,Salem,Grocery,1,6630,Cash,Completed,6630
O0247,C0187,2026-09-04,25.0,Male,Salem,Clothing,5,358,Card,Returned,1790
O0248,C0070,2026-09-05,45.0,Female,Madurai,Furniture,4,382,Card,Cancelled,1528
O0249,C0093,2026-09-06,45.0,Female,Trichy,Clothing,3,1998,Net Banking,Returned,5994
O0250,C0003,2026-09-07,54.0,Male,Erode,Clothing,3,4235,UPI,Cancelled,12705
O0251,C0148,2026-09-08,58.0,Female,Erode,Clothing,1,6729,Cash,Completed,6729
O0252,C0187,2026-09-09,53.0,Female,Madurai,Grocery,1,3300,Card,Cancelled,3300
O0253,C0164,2026-09-10,44.0,Female,Erode,Electronics,5,5210,UPI,Completed,26050
O0254,C0147,2026-09-11,34.0,Female,Salem,Electronics,5,7267,UPI,Cancelled,36335
O0255,C0090,2026-09-12,26.0,Female,Coimbatore,Clothing,2,712,Card,Returned,1424
O0256,C0195,2026-09-13,50.0,Male,Chennai,Electronics,5,787,Cash,Completed,3935
O0257,C0147,2026-09-14,37.0,Female,Trichy,Electronics,2,3790,Net Banking,Returned,7580
O0258,C0148,2026-09-15,30.0,Male,Trichy,Clothing,4,8904,UPI,Returned,35616
O0259,C0096,2026-09-16,45.0,Female,Madurai,Clothing,1,2407,Net Banking,Completed,2407
O0260,C0199,2026-09-17,46.0,Male,Trichy,Furniture,4,7233,Cash,Completed,28932
O0261,C0052,2026-09-18,30.0,Female,Salem,Electronics,5,6609,Cash,Returned,33045
O0262,C0161,2026-09-19,63.0,Male,Erode,Grocery,4,6006,Net Banking,Returned,24024
O0263,C0168,2026-09-20,52.0,Female,Salem,Clothing,4,2691,Cash,Returned,10764
O0264,C0128,2026-09-21,23.0,Male,Madurai,Furniture,4,7283,UPI,Returned,29132
O0265,C0039,2026-09-22,35.0,Female,Salem,Grocery,5,5348,Net Banking,Completed,26740
O0266,C0082,2026-09-23,22.0,Male,Erode,Electronics,4,8866,Cash,Completed,35464
O0267,C0104,2026-09-24,64.0,Female,Coimbatore,Furniture,2,5208,Net Banking,Returned,10416
O0268,C0129,2026-09-25,42.0,Male,Madurai,Clothing,5,3704,UPI,Cancelled,18520
O0269,C0011,2026-09-26,19.0,Male,Coimbatore,Grocery,4,769,Cash,Cancelled,3076
O0270,C0185,2026-09-27,27.0,Female,Chennai,Clothing,5,4464,UPI,Completed,22320
O0271,C0178,2026-09-28,47.0,Female,Coimbatore,Electronics,3,7429,Cash,Returned,22287
O0272,C0151,2026-09-29,62.0,Male,Chennai,Grocery,2,1383,Card,Returned,2766
O0273,C0159,2026-09-30,22.0,Female,Chennai,Electronics,4,1023,Cash,Completed,4092
O0274,C0042,2026-10-01,50.0,Male,Coimbatore,Electronics,3,1225,Net Banking,Cancelled,3675
O0275,C0099,2026-10-02,18.0,Male,Madurai,Furniture,3,1629,Cash,Cancelled,4887
O0276,C0007,2026-10-03,35.0,Male,Erode,Clothing,5,9886,UPI,Cancelled,49430
O0277,C0144,2026-10-04,49.0,Female,Salem,Grocery,3,8538,UPI,Completed,25614
O0278,C0090,2026-10-05,64.0,Male,Salem,Electronics,2,3811,Cash,Cancelled,7622
O0279,C0112,2026-10-06,28.0,Male,Erode,Electronics,2,8104,Net Banking,Completed,16208
O0280,C0060,2026-10-07,38.0,Female,Chennai,Grocery,1,9852,Card,Completed,9852
O0281,C0113,2026-10-08,43.0,Female,Chennai,Electronics,2,6374,Net Banking,Returned,12748
O0282,C0002,2026-10-09,42.0,Female,Madurai,Furniture,3,3964,Card,Cancelled,11892
O0283,C0129,2026-10-10,39.0,Female,Trichy,Furniture,2,7933,UPI,Completed,15866
O0284,C0048,2026-10-11,44.0,Male,Coimbatore,Furniture,5,6888,Net Banking,Cancelled,34440
